element_id,size,ceiling_x_mm,ceiling_y_mm,finished_main_cable_mm,yoke_drop_mm,element_origin_drop_mm,top_edge_drop_mm,lowest_edge_drop_mm,target_yaw_deg,wing_fold_deg,nominal_wingspan_mm,nominal_body_axis_length_mm,nominal_thickness_mm,material_tier,design_release
VX-201,S,-72.367,233.044,3842.758,3842.758,3910.607,3870.758,3915.357,273.729,42.0,108,60,5,LUX-GL,1.3.0
VX-202,S,-51.527,123.318,4126.982,4126.982,4194.831,4154.982,4199.581,130.375,42.0,108,60,5,LUX-GL,1.3.0
VX-203,S,-114.329,282.394,3606.447,3606.447,3674.296,3634.447,3679.046,130.612,42.0,108,60,5,LUX-GL,1.3.0
VX-204,S,-94.125,172.997,3354.173,3354.173,3422.021,3382.173,3426.771,296.467,42.0,108,60,5,LUX-GL,1.3.0
VX-205,S,-10.692,74.231,3638.414,3638.414,3706.263,3666.414,3711.013,130.264,42.0,108,60,5,LUX-GL,1.3.0
VX-206,S,-135.465,221.806,4190.915,4190.915,4258.764,4218.915,4263.514,149.535,42.0,108,60,5,LUX-GL,1.3.0
VX-207,S,-157.187,160.402,3670.402,3670.402,3738.251,3698.402,3743.001,130.846,42.0,108,60,5,LUX-GL,1.3.0
VX-208,S,-178.097,271.115,3418.15,3418.15,3485.998,3446.15,3490.748,130.973,42.0,108,60,5,LUX-GL,1.3.0
VX-209,S,-200.105,209.82,3970.668,3970.668,4038.516,3998.668,4043.266,291.07,42.0,108,60,5,LUX-GL,1.3.0
VX-210,S,-116.587,111.457,3986.681,3986.681,4054.53,4014.681,4059.28,189.641,42.0,108,60,5,LUX-GL,1.3.0
VX-211,S,-263.101,199.12,3734.444,3734.444,3802.293,3762.444,3807.043,159.975,42.0,108,60,5,LUX-GL,1.3.0
VX-212,S,-221.293,149.618,3482.213,3482.213,3550.062,3510.213,3554.812,324.059,42.0,108,60,5,LUX-GL,1.3.0
VX-213,S,-73.857,61.925,3498.242,3498.242,3566.091,3526.242,3570.841,190.376,42.0,108,60,5,LUX-GL,1.3.0
VX-214,S,-283.836,138.167,4319.042,4319.042,4386.891,4347.042,4391.641,160.058,42.0,108,60,5,LUX-GL,1.3.0
VX-215,S,-178.556,99.913,4335.082,4335.082,4402.931,4363.082,4407.681,189.629,42.0,108,60,5,LUX-GL,1.3.0
VX-216,S,-348.106,127.263,3546.362,3546.362,3614.21,3574.362,3618.96,189.987,42.0,108,60,5,LUX-GL,1.3.0
VX-217,S,-243.713,88.44,4098.922,4098.922,4166.771,4126.922,4171.521,340.097,42.0,108,60,5,LUX-GL,1.3.0
VX-218,S,-138.048,51.209,3846.722,3846.722,3914.571,3874.722,3919.321,190.325,42.0,108,60,5,LUX-GL,1.3.0
VX-219,S,-306.43,77.014,3862.783,3862.783,3930.632,3890.783,3935.382,191.312,42.0,108,60,5,LUX-GL,1.3.0
VX-220,S,-200.711,38.674,3610.594,3610.594,3678.442,3638.594,3683.192,250.008,42.0,108,60,5,LUX-GL,1.3.0
VX-221,S,-328.437,16.526,3626.665,3626.665,3694.513,3654.665,3699.263,189.369,42.0,108,60,5,LUX-GL,1.3.0
VX-222,S,-265.007,28.066,4447.506,4447.506,4515.355,4475.506,4520.105,351.011,42.0,108,60,5,LUX-GL,1.3.0
VX-223,S,-160.159,-10.094,4463.587,4463.587,4531.436,4491.587,4536.186,249.946,42.0,108,60,5,LUX-GL,1.3.0
VX-224,S,-287.309,-33.025,4211.418,4211.418,4279.267,4239.418,4284.017,190.377,42.0,108,60,5,LUX-GL,1.3.0
VX-225,S,-222.454,-21.501,3959.254,3959.254,4027.103,3987.254,4031.853,10.16,42.0,108,60,5,LUX-GL,1.3.0
VX-226,S,-94.897,1.458,4243.606,4243.606,4311.455,4271.606,4316.205,249.866,42.0,108,60,5,LUX-GL,1.3.0
VX-227,S,-244.786,-82.417,3723.197,3723.197,3791.046,3751.197,3795.796,249.956,42.0,108,60,5,LUX-GL,1.3.0
VX-228,S,-117.201,-59.677,3739.303,3739.303,3807.152,3767.303,3811.902,310.024,42.0,108,60,5,LUX-GL,1.3.0
VX-229,S,-203.524,-131.55,4560.18,4560.18,4628.028,4588.18,4632.778,189.383,42.0,108,60,5,LUX-GL,1.3.0
VX-230,S,-181.43,-70.291,4308.041,4308.041,4375.89,4336.041,4380.64,29.427,42.0,108,60,5,LUX-GL,1.3.0
VX-231,S,-54.267,-47.356,4055.907,4055.907,4123.756,4083.907,4128.506,310.277,42.0,108,60,5,LUX-GL,1.3.0
VX-232,S,-139.105,-120.239,4072.033,4072.033,4139.882,4100.033,4144.632,250.334,42.0,108,60,5,LUX-GL,1.3.0
VX-233,S,-76.203,-108.735,4624.674,4624.674,4692.523,4652.674,4697.273,51.252,42.0,108,60,5,LUX-GL,1.3.0
VX-234,S,-32.453,12.656,4640.81,4640.81,4708.659,4668.81,4713.409,251.011,42.0,108,60,5,LUX-GL,1.3.0
VX-235,S,-96.935,-168.982,3852.185,3852.185,3920.034,3880.185,3924.784,310.656,42.0,108,60,5,LUX-GL,1.3.0
VX-236,S,9.889,-36.648,3868.331,3868.331,3936.179,3896.331,3940.929,39.925,42.0,108,60,5,LUX-GL,1.3.0
VX-237,S,-11.696,-97.648,4420.991,4420.991,4488.84,4448.991,4493.59,309.958,42.0,108,60,5,LUX-GL,1.3.0
VX-238,S,51.251,-86.014,4705.401,4705.401,4773.25,4733.401,4778.0,70.216,42.0,108,60,5,LUX-GL,1.3.0
VX-239,S,32.213,24.419,4453.306,4453.306,4521.155,4481.306,4525.905,70.16,42.0,108,60,5,LUX-GL,1.3.0
VX-240,S,73.255,-25.029,4201.215,4201.215,4269.064,4229.215,4273.814,309.693,42.0,108,60,5,LUX-GL,1.3.0
