element_id,size,ceiling_x_mm,ceiling_y_mm,finished_main_cable_mm,yoke_drop_mm,element_origin_drop_mm,top_edge_drop_mm,lowest_edge_drop_mm,target_yaw_deg,wing_fold_deg,nominal_wingspan_mm,nominal_body_axis_length_mm,nominal_thickness_mm,material_tier,design_release
VX-048,M,-298.882,366.824,1210.359,1210.359,1291.664,1238.359,1297.364,84.9,42.0,146,82,6,LUX-GL,1.3.0
VX-049,L,-175.72,571.622,942.416,942.416,1037.847,970.416,1044.497,111.351,42.0,186,108,7,LUX-GL,1.3.0
VX-050,M,-322.532,427.325,1775.766,1775.766,1857.072,1803.766,1862.772,80.051,42.0,146,82,6,LUX-GL,1.3.0
VX-051,M,-164.496,635.607,1253.736,1253.736,1335.041,1281.736,1340.741,106.558,42.0,146,82,6,LUX-GL,1.3.0
VX-052,L,-341.036,489.563,985.855,985.855,1081.286,1013.855,1087.936,228.671,42.0,186,108,7,LUX-GL,1.3.0
VX-053,M,-421.08,343.844,1819.266,1819.266,1900.572,1847.266,1906.272,101.63,42.0,146,82,6,LUX-GL,1.3.0
VX-054,M,-354.123,553.151,1297.296,1297.296,1378.601,1325.296,1384.301,124.769,42.0,146,82,6,LUX-GL,1.3.0
VX-055,L,-458.145,397.234,1297.729,1297.729,1393.16,1325.729,1399.81,96.68,42.0,186,108,7,LUX-GL,1.3.0
VX-056,M,-361.678,617.652,1862.942,1862.942,1944.248,1890.942,1949.948,121.029,42.0,146,82,6,LUX-GL,1.3.0
VX-057,M,-491.643,452.919,1072.773,1072.773,1154.079,1100.773,1159.779,241.785,42.0,146,82,6,LUX-GL,1.3.0
VX-058,L,-531.681,300.797,1073.262,1073.262,1168.693,1101.262,1175.343,117.121,42.0,186,108,7,LUX-GL,1.3.0
VX-059,M,-521.266,510.756,1906.785,1906.785,1988.091,1934.785,1993.791,136.514,42.0,146,82,6,LUX-GL,1.3.0
VX-060,M,-582.241,348.754,1921.435,1921.435,2002.741,1949.435,2008.441,262.483,42.0,146,82,6,LUX-GL,1.3.0
VX-061,L,-561.667,204.586,1653.722,1653.722,1749.153,1681.722,1755.803,133.482,42.0,186,108,7,LUX-GL,1.3.0
VX-062,M,-628.358,397.382,1414.277,1414.277,1495.583,1442.277,1501.283,148.966,42.0,146,82,6,LUX-GL,1.3.0
VX-063,M,-626.949,243.864,1428.979,1428.979,1510.284,1456.979,1515.984,130.539,42.0,146,82,6,LUX-GL,1.3.0
VX-064,L,-670.605,446.779,1161.316,1161.316,1256.747,1189.316,1263.397,146.409,42.0,186,108,7,LUX-GL,1.3.0
VX-065,M,-688.172,284.527,1994.942,1994.942,2076.247,2022.942,2081.947,277.488,42.0,146,82,6,LUX-GL,1.3.0
VX-066,M,-630.972,145.228,1204.927,1204.927,1286.232,1232.927,1291.932,143.935,42.0,146,82,6,LUX-GL,1.3.0
VX-067,L,-745.497,326.276,1742.078,1742.078,1837.509,1770.078,1844.159,156.913,42.0,186,108,7,LUX-GL,1.3.0
VX-068,M,-703.735,176.245,1770.986,1770.986,1852.291,1798.986,1857.991,298.253,42.0,146,82,6,LUX-GL,1.3.0
VX-069,M,-601.259,57.872,1517.528,1517.528,1598.834,1545.528,1604.534,154.771,42.0,146,82,6,LUX-GL,1.3.0
VX-070,L,-773.013,208.888,1249.96,1249.96,1345.392,1277.96,1352.042,165.82,42.0,186,108,7,LUX-GL,1.3.0
VX-071,M,-681.784,78.219,2083.679,2083.679,2164.985,2111.679,2170.685,152.729,42.0,146,82,6,LUX-GL,1.3.0
VX-072,M,-838.896,242.85,1562.012,1562.012,1643.317,1590.012,1649.017,163.879,42.0,146,82,6,LUX-GL,1.3.0
VX-073,L,-759.411,100.655,1562.743,1562.743,1658.175,1590.743,1664.825,310.041,42.0,186,108,7,LUX-GL,1.3.0
VX-074,M,-630.16,-5.553,1859.996,1859.996,1941.302,1887.996,1947.002,162.046,42.0,146,82,6,LUX-GL,1.3.0
VX-075,M,-834.128,124.866,2143.137,2143.137,2224.443,2171.137,2230.143,171.927,42.0,146,82,6,LUX-GL,1.3.0
VX-076,L,-712.414,6.114,1339.146,1339.146,1434.578,1367.146,1441.228,160.33,42.0,186,108,7,LUX-GL,1.3.0
VX-077,M,-905.958,150.543,1904.696,1904.696,1986.002,1932.696,1991.702,170.2,42.0,146,82,6,LUX-GL,1.3.0
VX-078,M,-792.38,19.927,1919.624,1919.624,2000.93,1947.624,2006.63,320.064,42.0,146,82,6,LUX-GL,1.3.0
VX-079,L,-640.396,-71.788,2188.695,2188.695,2284.126,2216.695,2290.776,168.599,42.0,186,108,7,LUX-GL,1.3.0
VX-080,M,-869.984,35.575,1413.01,1413.01,1494.316,1441.01,1500.016,177.711,42.0,146,82,6,LUX-GL,1.3.0
VX-081,M,-722.055,-68.524,1696.234,1696.234,1777.539,1724.234,1783.239,332.442,42.0,146,82,6,LUX-GL,1.3.0
VX-082,L,-552.277,-130.222,1965.344,1965.344,2060.775,1993.344,2067.425,176.146,42.0,186,108,7,LUX-GL,1.3.0
VX-083,M,-801.978,-63.14,2262.719,2262.719,2344.024,2290.719,2349.724,185.99,42.0,146,82,6,LUX-GL,1.3.0
VX-084,M,-631.735,-138.559,1472.961,1472.961,1554.266,1500.961,1559.966,174.727,42.0,146,82,6,LUX-GL,1.3.0
VX-085,L,-880.029,-55.936,1742.11,1742.11,1837.541,1770.11,1844.191,183.388,42.0,186,108,7,LUX-GL,1.3.0
VX-086,M,-710.669,-143.231,2039.523,2039.523,2120.828,2067.523,2126.528,338.954,42.0,146,82,6,LUX-GL,1.3.0
VX-087,M,-529.136,-190.954,2322.822,2322.822,2404.128,2350.822,2409.828,181.951,42.0,146,82,6,LUX-GL,1.3.0
VX-088,L,-788.336,-145.877,1518.988,1518.988,1614.419,1546.988,1621.069,189.614,42.0,186,108,7,LUX-GL,1.3.0
VX-089,M,-604.562,-203.731,1816.438,1816.438,1897.743,1844.438,1903.443,348.232,42.0,146,82,6,LUX-GL,1.3.0
VX-090,M,-423.633,-221.857,1831.519,1831.519,1912.824,1859.519,1918.524,189.163,42.0,146,82,6,LUX-GL,1.3.0
VX-091,M,-678.85,-215.713,2383.121,2383.121,2464.427,2411.121,2470.127,198.728,42.0,146,82,6,LUX-GL,1.3.0
VX-092,M,-491.51,-244.869,1593.461,1593.461,1674.766,1621.461,1680.466,187.836,42.0,146,82,6,LUX-GL,1.3.0
VX-093,M,-752.235,-225.812,1876.832,1876.832,1958.137,1904.832,1963.837,196.7,42.0,146,82,6,LUX-GL,1.3.0
VX-094,M,-559.764,-265.347,2160.215,2160.215,2241.52,2188.215,2247.22,353.537,42.0,146,82,6,LUX-GL,1.3.0
VX-095,M,-378.061,-268.201,2443.609,2443.609,2524.914,2471.609,2530.614,195.257,42.0,146,82,6,LUX-GL,1.3.0
VX-096,M,-627.69,-283.875,1653.994,1653.994,1735.299,1681.994,1740.999,204.517,42.0,146,82,6,LUX-GL,1.3.0
VX-097,M,-438.389,-295.716,2205.665,2205.665,2286.971,2233.665,2292.671,194.04,42.0,146,82,6,LUX-GL,1.3.0
VX-098,M,-694.965,-300.698,2220.838,2220.838,2302.143,2248.838,2307.843,203.295,42.0,146,82,6,LUX-GL,1.3.0
VX-099,M,-498.494,-321.595,1967.766,1967.766,2049.072,1995.766,2054.772,359.474,42.0,146,82,6,LUX-GL,1.3.0
VX-100,M,-314.139,-304.192,2251.216,2251.216,2332.521,2279.216,2338.221,201.937,42.0,146,82,6,LUX-GL,1.3.0
VX-101,M,-558.787,-345.878,2534.676,2534.676,2615.981,2562.676,2621.681,212.7,42.0,146,82,6,LUX-GL,1.3.0
VX-102,M,-368.798,-339.282,2013.381,2013.381,2094.687,2041.381,2100.387,8.801,42.0,146,82,6,LUX-GL,1.3.0
VX-103,M,-197.525,-289.946,2565.118,2565.118,2646.423,2593.118,2652.123,210.721,42.0,146,82,6,LUX-GL,1.3.0
VX-104,M,-424.62,-372.455,1775.589,1775.589,1856.895,1803.589,1862.595,228.116,42.0,146,82,6,LUX-GL,1.3.0
VX-105,M,-240.836,-338.244,2059.091,2059.091,2140.397,2087.091,2146.097,209.264,42.0,146,82,6,LUX-GL,1.3.0
VX-106,M,-481.281,-404.204,2342.604,2342.604,2423.909,2370.604,2429.609,217.727,42.0,146,82,6,LUX-GL,1.3.0
VX-107,M,-292.094,-377.899,1821.361,1821.361,1902.667,1849.361,1908.367,14.993,42.0,146,82,6,LUX-GL,1.3.0
VX-108,M,-133.119,-310.963,2306.085,2306.085,2387.391,2334.085,2393.091,218.991,42.0,146,82,6,LUX-GL,1.3.0
VX-109,M,-342.46,-418.672,2656.692,2656.692,2737.997,2684.692,2743.697,240.298,42.0,146,82,6,LUX-GL,1.3.0
VX-110,M,-165.259,-367.305,1867.224,1867.224,1948.529,1895.224,1954.229,218.979,42.0,146,82,6,LUX-GL,1.3.0
VX-111,M,-392.883,-459.473,2150.786,2150.786,2232.092,2178.786,2237.792,214.591,42.0,146,82,6,LUX-GL,1.3.0
VX-112,M,-218.631,-404.112,2702.613,2702.613,2783.919,2730.613,2789.619,21.583,42.0,146,82,6,LUX-GL,1.3.0
VX-113,M,-67.035,-330.572,2717.94,2717.94,2799.246,2745.94,2804.946,247.831,42.0,146,82,6,LUX-GL,1.3.0
VX-114,M,-243.109,-464.188,2196.766,2196.766,2278.072,2224.766,2283.772,263.133,42.0,146,82,6,LUX-GL,1.3.0
